id;criterio;tipo;nota;justificativa;data_avaliacao
3169;organização no trabalho;execução;9.3;responsável, porém inseguro;2023-05-09
3170;atender aos prazos;comportamental;8.5;boa execução com erros pontuais;2023-05-06
3171;sentimento de dono;execução;9.0;reativo, falta proatividade;2023-05-04
3172;capacidade de aprender;execução;8.5;responsável, porém inseguro;2023-04-29
3175;capacidade de aprender;execução;8.8;boa execução com erros pontuais;2023-04-21
3177;entregar com qualidade;execução;8.8;trabalho em equipe precisa melhorar;2023-03-11
3179;pensar fora da caixa;execução;6.9;organizado, mas às vezes desatento;2023-04-14
3180;resiliencia nas adversidades;execução;8.2;trabalho em equipe precisa melhorar;2023-04-06
3181;resiliencia nas adversidades;comportamental;8.0;organizado, mas às vezes desatento;2023-05-03
3182;pensar fora da caixa;comportamental;9.1;boa execução com erros pontuais;2023-04-26
3183;organização no trabalho;comportamental;9.0;cumpre prazos, mas sem iniciativa;2023-03-30
3184;resiliencia nas adversidades;comportamental;6.9;aprende rápido, mas esquece feedbacks;2023-04-14
3185;entregar com qualidade;comportamental;6.0;trabalho em equipe precisa melhorar;2023-04-03
3186;pensar fora da caixa;execução;7.0;entrega consistente, mas falta comunicação;2023-03-18
3187;pensar fora da caixa;execução;8.0;entrega consistente, mas falta comunicação;2023-04-09
3190;pensar fora da caixa;comportamental;8.0;reativo, falta proatividade;2023-03-28
3191;atender aos prazos;comportamental;6.3;cumpre prazos, mas sem iniciativa;2023-03-16
3192;entregar com qualidade;comportamental;10.0;boa execução com erros pontuais;2023-03-22
3193;sentimento de dono;execução;7.3;responsável, porém inseguro;2023-04-19
3194;atender aos prazos;comportamental;9.2;criativo, porém pouco claro;2023-04-28
3195;pensar fora da caixa;comportamental;9.6;criativo, porém pouco claro;2023-04-27
3196;"ser ""team player""";execução;7.0;criativo, porém pouco claro;2023-04-20
3198;organização no trabalho;execução;7.2;criativo, porém pouco claro;2023-03-21
3200;fazer mais com menos;comportamental;6.8;inovador, mas confuso;2023-04-06
3201;atender aos prazos;execução;8.3;entrega consistente, mas falta comunicação;2023-05-08
3202;pensar fora da caixa;execução;9.9;reativo, falta proatividade;2023-04-28
3203;entregar com qualidade;execução;6.4;trabalho em equipe precisa melhorar;2023-05-07
3204;sentimento de dono;execução;7.2;trabalho em equipe precisa melhorar;2023-03-12
3205;entregar com qualidade;execução;6.0;inovador, mas confuso;2023-03-24
3206;sentimento de dono;execução;7.0;inovador, mas confuso;2023-05-02
3207;sentimento de dono;comportamental;9.0;trabalho em equipe precisa melhorar;2023-04-07
3208;sentimento de dono;execução;10.0;reativo, falta proatividade;2023-03-30
3209;fazer mais com menos;execução;9.0;responsável, porém inseguro;2023-03-10
3211;pensar fora da caixa;execução;10.0;trabalho em equipe precisa melhorar;2023-04-28
3212;"ser ""team player""";comportamental;8.0;responsável, porém inseguro;2023-04-24
3214;pensar fora da caixa;comportamental;6.9;cumpre prazos, mas sem iniciativa;2023-03-20
3215;fazer mais com menos;comportamental;8.4;aprende rápido, mas esquece feedbacks;2023-04-24
3217;"ser ""team player""";execução;6.4;cumpre prazos, mas sem iniciativa;2023-04-25
3218;pensar fora da caixa;execução;9.8;entrega consistente, mas falta comunicação;2023-04-16
3219;capacidade de aprender;execução;10.0;aprende rápido, mas esquece feedbacks;2023-04-06
3220;organização no trabalho;execução;8.0;criativo, porém pouco claro;2023-04-18
3222;resiliencia nas adversidades;comportamental;10.0;responsável, porém inseguro;2023-05-05
3223;capacidade de aprender;comportamental;9.6;reativo, falta proatividade;2023-03-20
3224;"ser ""team player""";execução;10.0;cumpre prazos, mas sem iniciativa;2023-05-03
3225;pensar fora da caixa;comportamental;7.1;aprende rápido, mas esquece feedbacks;2023-04-21
3226;resiliencia nas adversidades;execução;7.8;responsável, porém inseguro;2023-04-01
3227;"ser ""team player""";comportamental;9.5;entrega consistente, mas falta comunicação;2023-04-21
3228;capacidade de aprender;comportamental;10.0;trabalho em equipe precisa melhorar;2023-04-20
3229;sentimento de dono;execução;10.0;responsável, porém inseguro;2023-03-15
3230;organização no trabalho;comportamental;6.3;criativo, porém pouco claro;2023-05-09
3231;fazer mais com menos;execução;8.0;organizado, mas às vezes desatento;2023-03-24
3232;"ser ""team player""";comportamental;7.1;aprende rápido, mas esquece feedbacks;2023-04-19
3233;capacidade de aprender;comportamental;7.0;boa execução com erros pontuais;2023-03-28
3235;sentimento de dono;execução;6.4;boa execução com erros pontuais;2023-04-05
3237;resiliencia nas adversidades;execução;7.1;reativo, falta proatividade;2023-03-22
3238;"ser ""team player""";execução;10.0;trabalho em equipe precisa melhorar;2023-03-20
3240;entregar com qualidade;execução;9.1;aprende rápido, mas esquece feedbacks;2023-05-03
3241;"ser ""team player""";execução;7.5;criativo, porém pouco claro;2023-05-04
3242;sentimento de dono;comportamental;9.0;aprende rápido, mas esquece feedbacks;2023-04-11
3243;sentimento de dono;execução;9.0;responsável, porém inseguro;2023-05-06
3246;atender aos prazos;comportamental;9.0;criativo, porém pouco claro;2023-04-02
3247;organização no trabalho;comportamental;7.9;entrega consistente, mas falta comunicação;2023-05-05
3248;entregar com qualidade;comportamental;9.3;inovador, mas confuso;2023-05-07
3250;resiliencia nas adversidades;comportamental;8.8;trabalho em equipe precisa melhorar;2023-03-17
3251;sentimento de dono;comportamental;9.0;entrega consistente, mas falta comunicação;2023-04-26
3253;capacidade de aprender;comportamental;6.0;criativo, porém pouco claro;2023-04-27
3256;entregar com qualidade;execução;9.5;entrega consistente, mas falta comunicação;2023-03-17
3257;capacidade de aprender;comportamental;9.8;organizado, mas às vezes desatento;2023-03-18
3258;sentimento de dono;comportamental;7.4;entrega consistente, mas falta comunicação;2023-04-23
3259;capacidade de aprender;execução;7.1;cumpre prazos, mas sem iniciativa;2023-04-29
3260;resiliencia nas adversidades;execução;7.0;boa execução com erros pontuais;2023-04-22
3261;sentimento de dono;execução;8.0;entrega consistente, mas falta comunicação;2023-04-05
3262;atender aos prazos;comportamental;8.2;cumpre prazos, mas sem iniciativa;2023-04-08
3263;atender aos prazos;execução;10.0;responsável, porém inseguro;2023-04-17
3265;organização no trabalho;execução;9.8;organizado, mas às vezes desatento;2023-04-05
3266;atender aos prazos;execução;9.9;entrega consistente, mas falta comunicação;2023-03-15
3267;entregar com qualidade;execução;7.7;boa execução com erros pontuais;2023-04-01
3268;entregar com qualidade;comportamental;9.9;criativo, porém pouco claro;2023-03-28
3269;capacidade de aprender;comportamental;10.0;responsável, porém inseguro;2023-05-02
3272;entregar com qualidade;execução;7.7;trabalho em equipe precisa melhorar;2023-04-04
3274;entregar com qualidade;execução;6.0;aprende rápido, mas esquece feedbacks;2023-04-08
3275;entregar com qualidade;execução;8.0;cumpre prazos, mas sem iniciativa;2023-04-18
3276;fazer mais com menos;comportamental;8.6;trabalho em equipe precisa melhorar;2023-03-25
3277;pensar fora da caixa;execução;7.0;trabalho em equipe precisa melhorar;2023-03-17
3282;resiliencia nas adversidades;comportamental;8.4;aprende rápido, mas esquece feedbacks;2023-04-21
3283;resiliencia nas adversidades;execução;9.9;entrega consistente, mas falta comunicação;2023-04-19
3284;"ser ""team player""";execução;9.0;organizado, mas às vezes desatento;2023-04-12
3286;entregar com qualidade;execução;7.0;reativo, falta proatividade;2023-04-15
3287;organização no trabalho;comportamental;9.4;aprende rápido, mas esquece feedbacks;2023-03-25
3289;organização no trabalho;comportamental;6.1;reativo, falta proatividade;2023-03-14
3290;fazer mais com menos;comportamental;7.1;trabalho em equipe precisa melhorar;2023-04-09
3291;pensar fora da caixa;comportamental;9.3;boa execução com erros pontuais;2023-03-23
3293;pensar fora da caixa;execução;6.4;inovador, mas confuso;2023-04-15
3294;capacidade de aprender;comportamental;6.9;boa execução com erros pontuais;2023-03-31
3298;atender aos prazos;execução;7.1;boa execução com erros pontuais;2023-03-18
3299;organização no trabalho;comportamental;7.0;aprende rápido, mas esquece feedbacks;2023-03-21
3300;organização no trabalho;comportamental;9.8;aprende rápido, mas esquece feedbacks;2023-03-16
3301;capacidade de aprender;execução;7.1;reativo, falta proatividade;2023-04-30
3302;entregar com qualidade;comportamental;6.7;entrega consistente, mas falta comunicação;2023-04-21
3303;atender aos prazos;execução;6.1;trabalho em equipe precisa melhorar;2023-05-02
3304;fazer mais com menos;comportamental;9.2;aprende rápido, mas esquece feedbacks;2023-04-12
3305;fazer mais com menos;comportamental;6.0;responsável, porém inseguro;2023-04-10
3307;atender aos prazos;execução;10.0;inovador, mas confuso;2023-04-16
3309;entregar com qualidade;execução;9.0;trabalho em equipe precisa melhorar;2023-04-03
3311;atender aos prazos;comportamental;10.0;cumpre prazos, mas sem iniciativa;2023-05-08
3313;sentimento de dono;execução;9.7;cumpre prazos, mas sem iniciativa;2023-05-06
3315;"ser ""team player""";execução;7.4;criativo, porém pouco claro;2023-03-15
3316;resiliencia nas adversidades;execução;8.9;aprende rápido, mas esquece feedbacks;2023-04-06
3317;pensar fora da caixa;comportamental;7.0;criativo, porém pouco claro;2023-04-21
3319;fazer mais com menos;comportamental;6.3;organizado, mas às vezes desatento;2023-04-03
3322;organização no trabalho;execução;8.4;responsável, porém inseguro;2023-04-27
3323;capacidade de aprender;comportamental;9.4;aprende rápido, mas esquece feedbacks;2023-03-31
3326;"ser ""team player""";execução;10.0;entrega consistente, mas falta comunicação;2023-05-01
3328;atender aos prazos;comportamental;7.3;cumpre prazos, mas sem iniciativa;2023-03-25
3329;"ser ""team player""";execução;8.0;criativo, porém pouco claro;2023-03-26
3331;atender aos prazos;execução;6.6;organizado, mas às vezes desatento;2023-03-16
3332;entregar com qualidade;comportamental;6.5;aprende rápido, mas esquece feedbacks;2023-04-16
3333;entregar com qualidade;comportamental;7.0;boa execução com erros pontuais;2023-05-01
3335;pensar fora da caixa;comportamental;9.0;cumpre prazos, mas sem iniciativa;2023-04-12
3336;"ser ""team player""";execução;9.6;trabalho em equipe precisa melhorar;2023-03-30
3338;resiliencia nas adversidades;execução;7.0;organizado, mas às vezes desatento;2023-04-01
3339;organização no trabalho;comportamental;10.0;inovador, mas confuso;2023-03-24
3340;organização no trabalho;execução;7.0;inovador, mas confuso;2023-04-09
3341;sentimento de dono;comportamental;10.0;reativo, falta proatividade;2023-05-01
3342;capacidade de aprender;comportamental;8.2;trabalho em equipe precisa melhorar;2023-04-15
3343;resiliencia nas adversidades;execução;9.8;responsável, porém inseguro;2023-05-03
3344;fazer mais com menos;comportamental;7.0;criativo, porém pouco claro;2023-04-28
3345;atender aos prazos;execução;6.9;cumpre prazos, mas sem iniciativa;2023-04-13
3346;resiliencia nas adversidades;comportamental;9.9;criativo, porém pouco claro;2023-05-07
3348;capacidade de aprender;execução;6.5;entrega consistente, mas falta comunicação;2023-03-10
3349;capacidade de aprender;comportamental;6.7;inovador, mas confuso;2023-05-02
3350;organização no trabalho;execução;10.0;aprende rápido, mas esquece feedbacks;2023-04-20
3352;resiliencia nas adversidades;comportamental;9.2;responsável, porém inseguro;2023-05-09
3353;pensar fora da caixa;execução;10.0;responsável, porém inseguro;2023-04-10
3354;pensar fora da caixa;comportamental;8.6;reativo, falta proatividade;2023-04-14
3355;fazer mais com menos;comportamental;9.8;boa execução com erros pontuais;2023-04-10
3356;atender aos prazos;comportamental;6.7;responsável, porém inseguro;2023-05-09
3357;atender aos prazos;comportamental;9.3;aprende rápido, mas esquece feedbacks;2023-05-04
3359;resiliencia nas adversidades;execução;9.0;trabalho em equipe precisa melhorar;2023-04-20
3361;sentimento de dono;comportamental;6.6;aprende rápido, mas esquece feedbacks;2023-04-05
3362;resiliencia nas adversidades;comportamental;6.1;reativo, falta proatividade;2023-05-06
3363;"ser ""team player""";comportamental;9.4;trabalho em equipe precisa melhorar;2023-04-27
3364;sentimento de dono;comportamental;6.6;boa execução com erros pontuais;2023-03-19
3365;entregar com qualidade;comportamental;8.0;reativo, falta proatividade;2023-04-07
3367;resiliencia nas adversidades;comportamental;7.6;inovador, mas confuso;2023-04-02
3368;pensar fora da caixa;comportamental;7.8;inovador, mas confuso;2023-05-06
3370;capacidade de aprender;execução;6.8;aprende rápido, mas esquece feedbacks;2023-05-02
3372;capacidade de aprender;execução;9.7;responsável, porém inseguro;2023-04-01
3373;sentimento de dono;execução;6.9;trabalho em equipe precisa melhorar;2023-03-24
3375;resiliencia nas adversidades;execução;7.7;cumpre prazos, mas sem iniciativa;2023-04-19
3376;entregar com qualidade;execução;7.6;aprende rápido, mas esquece feedbacks;2023-03-27
3377;pensar fora da caixa;comportamental;9.3;organizado, mas às vezes desatento;2023-04-10
3378;fazer mais com menos;execução;8.7;responsável, porém inseguro;2023-04-14
3379;sentimento de dono;execução;7.8;organizado, mas às vezes desatento;2023-05-05
3380;entregar com qualidade;execução;9.1;criativo, porém pouco claro;2023-04-02
3381;atender aos prazos;execução;7.4;inovador, mas confuso;2023-03-16
3383;organização no trabalho;comportamental;6.9;inovador, mas confuso;2023-04-10
3384;resiliencia nas adversidades;execução;10.0;criativo, porém pouco claro;2023-04-10
3388;organização no trabalho;comportamental;6.0;boa execução com erros pontuais;2023-03-17
3389;entregar com qualidade;comportamental;9.0;aprende rápido, mas esquece feedbacks;2023-03-23
3390;capacidade de aprender;execução;6.1;reativo, falta proatividade;2023-04-08
3391;pensar fora da caixa;execução;8.0;organizado, mas às vezes desatento;2023-03-15
3392;"ser ""team player""";comportamental;8.5;entrega consistente, mas falta comunicação;2023-03-19
3394;sentimento de dono;comportamental;8.6;boa execução com erros pontuais;2023-04-05
3395;fazer mais com menos;comportamental;6.2;entrega consistente, mas falta comunicação;2023-03-19
3397;capacidade de aprender;comportamental;6.8;cumpre prazos, mas sem iniciativa;2023-04-19
3398;sentimento de dono;execução;8.2;boa execução com erros pontuais;2023-04-16
3400;"ser ""team player""";comportamental;7.3;criativo, porém pouco claro;2023-03-22
3403;sentimento de dono;execução;7.2;criativo, porém pouco claro;2023-04-17
3406;resiliencia nas adversidades;execução;8.0;entrega consistente, mas falta comunicação;2023-04-03
3408;organização no trabalho;comportamental;9.0;criativo, porém pouco claro;2023-05-01
3409;"ser ""team player""";comportamental;7.5;trabalho em equipe precisa melhorar;2023-03-15
3414;"ser ""team player""";execução;9.0;entrega consistente, mas falta comunicação;2023-03-19
3415;organização no trabalho;execução;7.7;criativo, porém pouco claro;2023-03-16
3416;capacidade de aprender;execução;7.9;inovador, mas confuso;2023-04-22
3417;organização no trabalho;execução;8.3;reativo, falta proatividade;2023-04-20
3418;fazer mais com menos;execução;9.0;trabalho em equipe precisa melhorar;2023-03-21
3419;organização no trabalho;comportamental;9.2;responsável, porém inseguro;2023-04-19
3420;organização no trabalho;execução;6.2;inovador, mas confuso;2023-04-26
3421;pensar fora da caixa;execução;9.0;cumpre prazos, mas sem iniciativa;2023-03-25
3422;organização no trabalho;comportamental;9.1;inovador, mas confuso;2023-04-28
3423;"ser ""team player""";comportamental;6.2;cumpre prazos, mas sem iniciativa;2023-03-22
3425;fazer mais com menos;execução;9.1;inovador, mas confuso;2023-03-26
3426;organização no trabalho;comportamental;8.3;inovador, mas confuso;2023-04-13
3427;fazer mais com menos;execução;6.5;trabalho em equipe precisa melhorar;2023-04-17
3428;sentimento de dono;execução;7.0;criativo, porém pouco claro;2023-03-14
3429;capacidade de aprender;execução;7.0;entrega consistente, mas falta comunicação;2023-04-08
3430;fazer mais com menos;comportamental;8.9;boa execução com erros pontuais;2023-04-22
3431;organização no trabalho;execução;7.0;criativo, porém pouco claro;2023-05-08
3432;sentimento de dono;comportamental;9.9;criativo, porém pouco claro;2023-04-18
3433;capacidade de aprender;comportamental;9.2;cumpre prazos, mas sem iniciativa;2023-04-01
3434;atender aos prazos;execução;6.3;criativo, porém pouco claro;2023-03-17
3435;resiliencia nas adversidades;execução;7.7;organizado, mas às vezes desatento;2023-04-15
3436;fazer mais com menos;execução;7.8;entrega consistente, mas falta comunicação;2023-03-26
3437;organização no trabalho;comportamental;9.1;aprende rápido, mas esquece feedbacks;2023-03-22
3438;atender aos prazos;execução;7.8;cumpre prazos, mas sem iniciativa;2023-04-22
3439;pensar fora da caixa;execução;9.6;organizado, mas às vezes desatento;2023-03-27
3441;capacidade de aprender;comportamental;7.8;organizado, mas às vezes desatento;2023-03-17
3442;resiliencia nas adversidades;comportamental;9.0;organizado, mas às vezes desatento;2023-04-17
3443;pensar fora da caixa;execução;8.0;organizado, mas às vezes desatento;2023-03-24
3444;fazer mais com menos;execução;6.0;trabalho em equipe precisa melhorar;2023-05-08
3446;pensar fora da caixa;comportamental;7.0;boa execução com erros pontuais;2023-04-13
3447;atender aos prazos;execução;7.0;entrega consistente, mas falta comunicação;2023-04-28
3449;capacidade de aprender;execução;9.0;cumpre prazos, mas sem iniciativa;2023-04-27
3450;entregar com qualidade;execução;9.0;reativo, falta proatividade;2023-03-30
3451;organização no trabalho;comportamental;10.0;responsável, porém inseguro;2023-04-09
3452;entregar com qualidade;comportamental;7.0;boa execução com erros pontuais;2023-03-11
3453;sentimento de dono;execução;10.0;boa execução com erros pontuais;2023-03-27
3454;resiliencia nas adversidades;comportamental;6.0;reativo, falta proatividade;2023-05-08
3456;organização no trabalho;execução;6.7;entrega consistente, mas falta comunicação;2023-05-01
3457;entregar com qualidade;execução;6.0;organizado, mas às vezes desatento;2023-03-19
3458;organização no trabalho;execução;7.0;organizado, mas às vezes desatento;2023-04-07
3459;resiliencia nas adversidades;execução;9.1;criativo, porém pouco claro;2023-04-27
3461;atender aos prazos;comportamental;6.6;criativo, porém pouco claro;2023-04-20
3462;sentimento de dono;execução;7.0;inovador, mas confuso;2023-03-17
3465;capacidade de aprender;comportamental;6.0;aprende rápido, mas esquece feedbacks;2023-04-17
3467;organização no trabalho;execução;6.8;boa execução com erros pontuais;2023-04-04
3468;resiliencia nas adversidades;execução;7.1;criativo, porém pouco claro;2023-05-08
3469;fazer mais com menos;comportamental;9.8;entrega consistente, mas falta comunicação;2023-04-22
3470;organização no trabalho;execução;8.1;trabalho em equipe precisa melhorar;2023-04-26
3471;fazer mais com menos;comportamental;7.0;responsável, porém inseguro;2023-04-20
